destination_ips,source_ips,time_variance,max_occuring_byte_size,byte_size_variance,protocols,number_of_packets,label
"17.248.216.67,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,17.188.170.10,17.188.168.161","192.168.0.109,17.248.216.67,192.168.0.1,17.242.13.4,192.168.0.137,17.188.170.10,17.188.168.161",1.240547318842955,66,259632.81829393632,"6,17",140,0
"142.251.12.188,17.248.216.66,17.248.216.67,192.168.0.1,17.242.13.4,192.168.0.137,52.219.164.200","142.251.12.188,17.248.216.66,17.248.216.67,192.168.0.1,17.242.13.4,192.168.0.137,52.219.164.200",1.0004449335598962,66,364590.2253177618,"6,17",207,0
"52.219.36.226,17.248.216.66,17.248.216.67,17.242.13.4,192.168.0.137","52.219.36.226,17.248.216.66,17.248.216.67,17.242.13.4,192.168.0.137",1.015190578303625,66,396956.49469312414,6,198,0
"52.219.36.226,17.248.216.66,17.248.216.67,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,17.248.216.65,140.82.112.26,239.255.255.250","52.219.36.226,17.248.216.66,17.248.216.67,192.168.0.1,17.242.13.4,192.168.0.137,17.248.216.65,140.82.112.26",1.1069936300036058,66,306877.11186159495,"6,17",291,0
"142.251.42.78,17.248.216.66,192.168.0.1,31.13.64.61,17.242.13.4,224.0.0.251,192.168.0.137,17.248.216.65,52.219.125.108","142.251.42.78,17.248.216.66,192.168.0.109,192.168.0.1,31.13.64.61,17.242.13.4,192.168.0.137,17.248.216.65,52.219.125.108",0.792638423540298,1486,405986.01267485897,"6,17",228,0
"54.239.37.226,17.248.216.66,52.19.236.182,17.242.13.4,224.0.0.251,192.168.0.137,17.248.216.65,52.219.125.108,142.250.76.174,239.255.255.250","54.239.37.226,17.248.216.66,192.168.0.109,52.19.236.182,17.242.13.4,192.168.0.137,17.248.216.65,52.219.125.108,142.250.76.174",0.8742918001995217,66,359512.9283699944,"6,17",198,0
"140.82.113.25,17.248.216.66,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,17.248.216.64,142.251.42.3,17.248.216.65,52.219.125.108,140.82.112.26,239.255.255.250","140.82.113.25,17.248.216.66,192.168.0.1,192.168.0.104,17.248.216.64,192.168.0.137,17.242.13.4,142.251.42.3,17.248.216.65,52.219.125.108,140.82.112.26",2.1445377715495555,66,327686.5682163946,"2,6,17",279,0
"142.250.199.150,17.248.216.66,17.242.13.4,17.248.216.64,192.168.0.137,17.248.216.65,52.219.125.108","142.250.199.150,17.248.216.66,17.242.13.4,17.248.216.64,192.168.0.137,17.248.216.65,52.219.125.108",0.9032455726583488,66,376848.02443280973,6,192,0
"17.248.216.66,18.155.107.97,52.19.236.182,17.242.13.4,17.248.216.64,192.168.0.137,224.0.0.251,17.248.216.65,52.219.125.108,239.255.255.250","17.248.216.66,192.168.0.109,52.19.236.182,192.168.0.104,17.248.216.64,192.168.0.137,17.242.13.4,17.248.216.65,52.219.125.108,18.155.107.97",0.8773932731034594,66,356292.7684685647,"6,17",194,0
"17.248.216.66,17.248.216.67,17.242.13.4,17.248.216.64,192.168.0.137,52.219.125.108","17.248.216.66,17.248.216.67,17.242.13.4,17.248.216.64,192.168.0.137,52.219.125.108",1.025488727883539,66,374069.4000170668,6,188,0
