destination_ips,source_ips,time_variance,max_occuring_byte_size,byte_size_variance,protocols,number_of_packets,label
"17.248.216.68,142.251.12.188,17.248.216.66,17.242.13.4,192.168.0.137,3.5.148.209","17.248.216.68,142.251.12.188,17.248.216.66,17.242.13.4,192.168.0.137,3.5.148.209",1.2905691541429583,66,366629.3981001727,6,193,0
"17.248.216.68,17.248.216.66,52.19.236.182,192.168.0.1,142.251.42.46,224.0.0.251,192.168.0.137,17.242.13.4,142.251.42.3,18.155.107.97,3.5.148.209,142.250.76.174,239.255.255.250","17.248.216.68,17.248.216.66,192.168.0.109,52.19.236.182,192.168.0.1,192.168.0.104,17.242.13.4,192.168.0.137,142.251.42.3,3.5.148.209,142.250.76.174,18.155.107.97",0.5331379980176923,66,368877.68253968254,"17,2,6",343,0
"17.248.216.68,17.248.216.66,142.251.42.46,17.242.13.4,192.168.0.137,3.5.148.209,142.250.76.174","17.248.216.68,17.248.216.66,142.251.42.46,17.242.13.4,192.168.0.137,3.5.148.209,142.250.76.174",0.958749619533867,66,375750.9666565473,"17,6",244,0
"17.248.216.68,142.251.42.99,142.251.42.78,17.248.216.66,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137,142.251.42.46,3.5.148.209","17.248.216.68,142.251.42.78,17.248.216.66,192.168.0.194,192.168.0.1,17.242.13.4,192.168.0.104,192.168.0.137,3.5.148.209,142.251.42.99",0.8328301857521594,66,371080.8093531319,"17,6",217,0
"17.248.216.68,54.239.37.226,17.248.216.66,142.250.183.46,3.5.150.174,192.168.0.1,17.242.13.4,192.168.0.137","17.248.216.68,54.239.37.226,17.248.216.66,142.250.183.46,3.5.150.174,192.168.0.1,17.242.13.4,192.168.0.137",1.1263457180912948,66,372564.79816900333,"17,6",229,0
"17.248.216.68,17.248.216.66,3.5.150.174,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.68,17.248.216.66,192.168.0.109,3.5.150.174,17.242.13.4,192.168.0.137",0.8721271716893914,66,404983.70430213463,"17,6",175,0
"17.248.216.68,142.250.199.150,17.248.216.66,52.219.124.42,17.242.13.4,192.168.0.137","17.248.216.68,142.250.199.150,17.248.216.66,52.219.124.42,17.242.13.4,192.168.0.137",1.0227277300120896,66,359833.19902066345,6,198,0
"17.248.216.68,17.248.216.66,52.219.124.42,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.68,17.248.216.66,52.219.124.42,17.242.13.4,192.168.0.104,192.168.0.137",1.181393462787503,66,340893.91983153543,"17,6",202,0
"17.248.216.68,17.248.216.66,52.219.124.42,192.168.0.1,17.242.13.4,192.168.0.137,142.251.42.3,140.82.113.25,239.255.255.250","17.248.216.68,17.248.216.66,52.219.124.42,192.168.0.1,17.242.13.4,192.168.0.137,142.251.42.3",1.4890741981320457,66,287173.0912048886,"17,6",318,0
"17.248.216.68,142.251.12.188,17.248.216.66,52.219.124.42,192.168.0.1,17.242.13.4,224.0.0.251,192.168.0.137","17.248.216.68,142.251.12.188,17.248.216.66,192.168.0.109,52.219.124.42,192.168.0.1,17.242.13.4,192.168.0.137,140.82.113.25",1.0398001767557488,66,367738.19512437814,"17,6",201,0
