destination_ips,source_ips,time_variance,max_occuring_byte_size,byte_size_variance,protocols,number_of_packets,label
52.182.143.214,192.168.225.84,5.800885105600173e-09,183,359980.6666666667,6,4,0
"52.182.143.214,192.168.225.84,20.44.10.123","52.182.143.214,192.168.225.84,20.44.10.123",2.6125107170758435,66,297275.3927125506,6,39,0
"52.182.143.214,192.168.225.84,20.44.10.123","52.182.143.214,192.168.225.84,20.44.10.123",4.855991040122047,66,19052,6,11,1
192.168.225.84,52.182.143.214,0,0,0,6,1,1
"140.82.114.26,140.82.113.26,192.168.225.84","140.82.114.26,192.168.225.84",0.017769337656457336,91,204.75,6,9,0
